,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Comodoro Rivadavia,40,AR,1570433640,50,-45.87,-67.48,51.8,14.99
1,Nyagan,98,RU,1570433640,66,62.14,65.43,45.85,5.35
2,Binga,0,ZW,1570433641,23,-17.62,27.34,91.78,10.42
3,Killybegs,20,IE,1570433641,76,54.63,-8.45,57.2,20.8
4,Castro,0,CL,1570433357,86,-42.48,-73.76,39.2,4.7
5,Faya,0,SA,1570433483,17,18.39,42.45,78.8,23.04
6,Punta Arenas,75,CL,1570433344,74,-53.16,-70.91,37.4,25.28
7,Khash,0,IR,1570433642,31,28.22,61.21,72.38,7.85
8,Saint-Philippe,90,CA,1570433402,93,45.36,-73.48,62.01,3.36
9,Inhambane,20,MZ,1570433433,61,-23.87,35.38,77.0,3.06
10,Egvekinot,100,RU,1570433643,96,66.32,-179.17,22.66,6.72
11,Tigil,100,RU,1570433643,78,57.8,158.67,31.93,11.79
12,Kruisfontein,100,ZA,1570433458,81,-34.0,24.73,60.61,18.1
13,Rikitea,100,PF,1570433643,87,-23.12,-134.97,71.28,23.33
14,Khatanga,6,RU,1570433644,92,71.98,102.47,24.37,10.27
15,Ushuaia,40,AR,1570433542,80,-54.81,-68.31,33.8,24.16
16,Porto Novo,75,BR,1570433644,93,-23.68,-45.44,64.4,2.24
17,Poya,0,NC,1570433645,78,-21.35,165.16,70.22,15.86
18,Sasayama,40,JP,1570433645,54,35.07,135.23,86.0,10.29
19,Chuy,0,UY,1570433645,91,-33.69,-53.46,53.93,10.38
20,Teseney,0,ER,1570433646,44,15.11,36.66,89.93,1.61
21,Atuona,18,PF,1570433646,76,-9.8,-139.03,78.8,10.0
22,Ilulissat,92,GL,1570433647,85,69.22,-51.1,32.0,5.82
23,Bredasdorp,40,ZA,1570433647,55,-34.53,20.04,68.0,11.41
24,Mataura,100,NZ,1570433647,52,-46.19,168.86,57.99,17.0
25,Hithadhoo,7,MV,1570433648,77,-0.6,73.08,82.48,11.9
26,Puerto Ayora,35,EC,1570433374,96,-0.74,-90.35,64.99,8.01
27,San Juan del Sur,100,NI,1570433648,96,11.25,-85.87,73.76,0.94
28,Port Alfred,100,ZA,1570433648,94,-33.59,26.89,66.0,3.0
29,Bluff,0,AU,1570433649,28,-23.58,149.07,78.35,2.77
30,Cidreira,67,BR,1570433649,90,-30.17,-50.22,57.8,5.75
31,Sao Jose da Coroa Grande,27,BR,1570433650,91,-8.9,-35.15,71.44,1.86
32,Sistranda,75,NO,1570433650,81,63.73,8.83,46.0,8.05
33,Narsaq,0,GL,1570433650,65,60.91,-46.05,35.03,4.72
34,Anadyr,90,RU,1570433651,96,64.73,177.51,33.8,44.74
35,Qaanaaq,100,GL,1570433651,79,77.48,-69.36,18.95,9.15
36,Peruibe,100,BR,1570433522,98,-24.32,-47.0,65.29,2.59
37,Neuquen,0,AR,1570433651,46,-38.95,-68.06,53.6,13.87
38,Albany,90,US,1570433568,82,42.65,-73.75,66.2,12.75
39,Qaqortoq,0,GL,1570433652,65,60.72,-46.03,35.03,4.72
40,Jamestown,44,AU,1570433652,72,-33.21,138.6,53.42,13.51
41,Karratha,0,AU,1570433653,16,-20.74,116.85,93.98,12.3
42,Ribeira Grande,75,PT,1570433358,88,38.52,-28.7,69.8,21.9
43,Shingu,40,JP,1570433653,65,33.72,135.99,77.0,6.93
44,Poum,40,MK,1570433653,62,41.28,20.71,53.6,9.17
45,Cape Town,40,ZA,1570433413,72,-33.93,18.42,66.0,12.75
46,Lagoa,0,PT,1570433654,77,37.14,-8.45,64.99,3.36
47,Inuvik,90,CA,1570433654,94,68.36,-133.71,32.0,11.41
48,Salalah,75,OM,1570433654,74,17.01,54.1,84.2,12.75
49,Lukovetskiy,90,RU,1570433655,90,64.29,41.92,32.0,8.95
50,Georgetown,20,GY,1570433429,100,6.8,-58.16,75.2,4.7
51,Yellowknife,90,CA,1570433655,72,62.45,-114.38,33.8,17.22
52,Lasa,20,CY,1570433656,57,34.92,32.53,78.8,8.05
53,Hermanus,0,ZA,1570433656,74,-34.42,19.24,68.0,22.35
54,Bandarbeyla,42,SO,1570433656,37,9.49,50.81,92.38,6.49
55,Bethel,90,US,1570433657,80,60.79,-161.76,39.2,5.82
56,La Orilla,65,MX,1570433657,90,18.0,-102.23,77.42,5.06
57,Busselton,93,AU,1570433657,32,-33.64,115.35,71.01,18.84
58,Nanortalik,1,GL,1570433657,76,60.14,-45.24,41.09,5.66
59,Codrington,1,AU,1570433658,27,-28.95,153.24,93.2,12.75
60,Barrow,94,AR,1570433372,81,-38.31,-60.23,55.14,18.77
61,Klaksvik,75,FO,1570433658,87,62.23,-6.59,50.0,40.26
62,Dikson,0,RU,1570433659,81,73.51,80.55,25.34,20.94
63,Thompson,5,CA,1570433405,92,55.74,-97.86,30.2,4.7
64,Sadao,40,TH,1570433659,70,6.63,100.42,91.4,11.41
65,Margate,75,AU,1570433660,58,-43.03,147.26,57.99,11.41
66,Polunochnoye,94,RU,1570433660,76,60.87,60.43,48.24,3.71
67,Carnarvon,0,ZA,1570433660,27,-30.97,22.13,62.77,20.51
68,Vardo,20,US,1570433660,82,39.62,-77.74,68.0,13.87
69,Ziarat,0,PK,1570433661,21,30.38,67.73,65.47,12.88
70,Tiksi,88,RU,1570433661,80,71.64,128.87,22.64,12.57
71,Adre,80,TD,1570433661,49,13.47,22.2,84.17,4.7
72,Port Elizabeth,90,US,1570433662,73,39.31,-74.98,71.01,5.82
73,Odlabari,40,IN,1570433662,62,26.83,88.62,87.8,4.7
74,New Norfolk,75,AU,1570433662,58,-42.78,147.06,57.99,11.41
75,Kodiak,1,US,1570433388,93,39.95,-94.76,50.0,4.59
76,Vaini,75,IN,1570433663,78,15.34,74.49,78.8,6.93
77,Vyartsilya,88,RU,1570433663,91,62.18,30.69,35.75,2.19
78,Birnin Kebbi,0,NG,1570433664,61,12.45,4.2,85.46,6.17
79,Barentu,0,ER,1570433664,30,15.11,37.59,89.66,4.47
80,Meulaboh,97,ID,1570433664,76,4.14,96.13,81.41,10.18
81,Garowe,41,SO,1570433664,36,8.41,48.48,89.64,11.34
82,Saint George,75,GR,1570433370,72,39.45,22.34,66.2,5.68
83,Husavik,0,CA,1570433665,86,50.56,-96.99,41.0,9.82
84,Hilo,75,US,1570433666,65,19.71,-155.08,78.8,3.36
85,Bridlington,20,GB,1570433666,87,54.08,-0.19,51.8,9.17
86,Ahipara,0,NZ,1570433666,87,-35.17,173.16,59.31,9.08
87,Esperance,90,AU,1570433667,67,-33.86,121.89,60.8,14.99
88,Lubango,40,AO,1570433667,24,-14.92,13.49,71.6,6.93
89,Provideniya,90,RU,1570433667,98,64.42,-173.23,35.6,11.18
90,Leningradskiy,100,RU,1570433421,75,69.38,178.42,25.7,10.0
91,Hobart,75,AU,1570433390,58,-42.88,147.33,57.99,11.41
92,Merauke,100,ID,1570433668,82,-8.49,140.4,79.45,26.4
93,Tuktoyaktuk,100,CA,1570433668,79,69.44,-133.03,31.75,19.13
94,Davila,20,PH,1570433668,66,18.47,120.58,91.4,11.41
95,La Ronge,75,CA,1570433669,75,55.1,-105.3,41.0,3.36
96,Arraial do Cabo,15,BR,1570433406,88,-22.97,-42.02,70.36,4.27
97,Soure,75,PT,1570433669,93,40.06,-8.63,61.0,5.82
98,LaBelle,90,US,1570433587,94,26.76,-81.44,75.99,6.93
99,Nikolskoye,40,RU,1570433670,86,59.7,30.79,39.99,2.24
100,Lorengau,1,PG,1570433468,85,-2.02,147.27,80.1,7.4
101,Tuatapere,100,NZ,1570433670,52,-46.13,167.69,57.99,17.0
102,Naze,75,NG,1570433671,100,5.43,7.07,75.2,5.57
103,Biak,100,ID,1570433671,93,-0.91,122.88,66.96,4.09
104,Almaznyy,40,RU,1570433671,57,48.03,40.04,48.2,11.18
105,Penticton,75,CA,1570433671,50,49.49,-119.59,57.2,9.17
106,Kapaa,40,US,1570433672,94,22.08,-159.32,75.2,6.93
107,Palmer,75,AU,1570433672,67,-34.85,139.16,61.0,18.34
108,Butaritari,0,KI,1570433412,64,3.07,172.79,84.73,3.69
109,Vanavara,100,RU,1570433673,94,60.35,102.28,43.97,9.66
110,Mikhaylovskoye,90,RU,1570433673,81,43.1,44.64,53.6,6.71
111,Sayyan,54,YE,1570433673,22,15.17,44.32,83.07,8.95
112,Hualmay,100,PE,1570433452,89,-11.1,-77.61,60.28,14.36
113,Longyearbyen,75,NO,1570433674,88,78.22,15.63,35.6,11.41
114,Nazret,0,ET,1570433674,55,8.55,39.27,75.06,13.38
115,Marlton,90,US,1570433674,64,38.77,-76.79,71.6,9.17
116,Saldanha,99,PT,1570433508,45,41.42,-6.55,65.12,1.21
117,Bambanglipuro,100,ID,1570433629,86,-7.95,110.28,77.69,12.26
118,Nowy Tomysl,57,PL,1570433675,62,52.32,16.13,41.0,4.83
119,Upernavik,99,GL,1570433675,76,72.79,-56.15,29.57,8.95
120,Puerto Escondido,99,MX,1570433675,82,15.86,-97.07,76.32,3.91
121,Scarborough,90,GB,1570433676,93,54.28,-0.41,51.01,11.41
122,Sambava,19,MG,1570433676,56,-14.27,50.17,82.21,8.32
123,Grand Gaube,40,MU,1570433677,61,-20.01,57.66,80.6,19.46
124,Avarua,52,CK,1570433424,60,-21.21,-159.78,69.8,6.93
125,Eureka,1,US,1570433630,93,40.8,-124.16,48.99,4.7
126,Mitsamiouli,40,KM,1570433677,62,-11.38,43.28,84.2,16.11
127,Coquimbo,0,CL,1570433678,87,-29.95,-71.34,52.0,3.36
128,Nome,1,US,1570433678,94,30.04,-94.42,75.99,4.85
129,Zavitinsk,100,RU,1570433678,88,50.11,129.44,44.71,6.46
130,Nara,40,JP,1570433679,57,34.68,135.8,86.0,9.17
131,Ponta do Sol,86,BR,1570433679,81,-20.63,-46.0,66.89,4.7
132,Takaka,13,NZ,1570433679,84,-40.86,172.81,55.0,1.01
133,Gautier,1,US,1570433680,88,30.39,-88.61,75.2,3.11
134,Miri,85,NG,1570433680,59,10.31,9.75,82.94,4.12
135,Mabaruma,5,GY,1570433453,99,8.2,-59.78,72.14,1.32
136,Kostomuksha,100,RU,1570433680,98,64.59,30.6,36.14,0.43
137,Avera,1,US,1570433681,93,33.19,-82.53,69.8,3.36
138,Torbay,75,CA,1570433655,93,47.66,-52.73,46.0,9.17
139,La Victoria,40,VE,1570433681,94,10.23,-67.33,77.0,3.36
140,Kampong Thum,27,KH,1570433682,64,12.71,104.89,85.36,4.79
141,Cockburn Town,100,TC,1570433682,80,21.46,-71.14,83.12,14.45
142,Lompoc,1,US,1570433682,71,34.64,-120.46,57.99,5.82
143,Emilio Carranza,82,MX,1570433683,82,19.97,-96.61,70.27,4.25
144,Cedar City,1,US,1570433587,44,37.68,-113.06,39.2,4.7
145,Ust-Tsilma,100,RU,1570433683,88,65.44,52.15,36.18,5.17
146,Kodinsk,100,RU,1570433683,91,58.6,99.18,49.91,11.07
147,Mar del Plata,96,AR,1570433684,70,-46.43,-67.52,44.23,4.52
148,Tautira,75,PF,1570433684,73,-17.73,-149.15,77.0,3.36
149,Marzuq,34,YE,1570433684,19,14.4,46.47,86.74,12.86
150,Znamenskoye,11,RU,1570433685,50,57.13,73.82,59.92,3.87
151,De Aar,0,ZA,1570433685,20,-30.65,24.01,64.4,18.34
152,Alofi,100,NU,1570433685,69,-19.06,-169.92,73.4,9.17
153,Mezen,61,RU,1570433686,74,65.85,44.24,37.12,6.71
154,Lebu,0,ET,1570433686,57,8.96,38.73,67.63,14.67
155,Victoria,75,BN,1570433609,66,5.28,115.24,87.8,6.93
156,Coahuayana,62,MX,1570433687,98,18.62,-100.35,69.34,1.52
157,Mahebourg,40,MU,1570433687,61,-20.41,57.7,80.6,19.46
158,Belyy Yar,0,RU,1570433421,55,53.6,91.39,60.8,5.06
159,Male,69,UA,1570433687,62,50.74,33.7,41.71,8.59
160,Imaculada,0,BR,1570433688,79,-7.39,-37.51,66.06,5.79
161,Los Llanos de Aridane,75,ES,1570433688,73,28.66,-17.92,71.6,12.75
162,Mae Sai,20,MM,1570433688,59,20.44,99.89,89.6,6.93
163,Tamworth,0,AU,1570433689,7,-31.09,150.93,93.2,19.46
164,Salcioara,90,RO,1570433689,87,44.72,25.58,50.0,11.41
165,Enshi,100,CN,1570433689,93,30.29,109.48,61.11,2.35
166,Labuhan,100,ID,1570433439,77,-2.54,115.51,83.11,2.66
167,Richards Bay,0,ZA,1570433690,76,-28.77,32.06,73.33,24.45
168,Aswan,0,EG,1570433690,23,24.09,32.9,86.0,11.41
169,Saskylakh,79,RU,1570433690,96,71.97,114.09,13.84,5.57
170,Mount Gambier,90,AU,1570433401,71,-37.83,140.78,55.4,20.8
171,Semey,0,KZ,1570433691,30,50.41,80.25,68.0,2.24
172,Gizo,20,IL,1570433691,51,31.8,34.94,82.4,3.36
173,Airai,0,TL,1570433691,71,-8.93,125.41,76.86,4.92
174,Mafra,100,BR,1570433692,98,-26.12,-49.8,53.01,1.01
175,Sibu,75,MY,1570433692,66,2.29,111.83,87.8,3.36
176,Kerouane,75,GN,1570433692,94,12.23,-12.34,73.4,2.82
177,Poros,40,TR,1570433693,54,40.9,26.22,59.0,16.11
178,Sitka,0,US,1570433693,72,37.17,-99.65,46.99,4.0
179,Chokurdakh,100,RU,1570433693,90,70.62,147.9,16.42,8.25
180,Shubarkuduk,0,KZ,1570433693,21,49.15,56.49,72.58,18.66
181,Muros,20,ES,1570433694,100,42.77,-9.06,61.0,4.7
182,Mehamn,75,NO,1570433400,93,71.03,27.85,39.2,13.87
183,Ngunguru,51,NZ,1570433694,88,-35.62,174.5,57.0,1.99
184,Hamilton,90,CA,1570433605,87,43.26,-79.87,57.0,3.36
185,Anchorage,1,US,1570433486,69,61.22,-149.89,37.99,2.93
186,Maceio,0,BR,1570433699,94,-9.67,-35.74,68.0,5.82
187,Gejiu,16,CN,1570433699,75,23.36,103.16,68.56,3.09
188,Clyde River,90,CA,1570433699,85,70.47,-68.59,23.0,8.05
189,Nabire,100,ID,1570433700,85,-3.36,135.5,72.74,3.33
190,San Policarpo,89,PH,1570433700,81,12.18,125.51,81.56,7.63
191,Kavaratti,20,IN,1570433700,66,10.57,72.64,87.8,4.7
192,Sadovoye,92,RU,1570433701,56,47.78,44.52,49.91,20.62
193,Novobirilyussy,33,RU,1570433701,66,56.95,90.69,59.94,7.29
194,Vanimo,72,PG,1570433701,74,-2.67,141.3,84.28,9.62
195,Iqaluit,75,CA,1570433702,92,63.75,-68.52,33.8,6.93
196,Ahuimanu,90,US,1570433702,78,21.44,-157.84,80.6,2.55
197,Lavrentiya,100,RU,1570433702,98,65.58,-170.99,29.57,5.06
198,Kathmandu,20,NP,1570433512,45,27.71,85.32,82.4,3.36
199,Almeirim,10,BR,1570433703,98,-1.53,-52.58,71.62,1.39
200,Geraldton,75,CA,1570433704,93,49.72,-86.95,44.6,9.17
201,Thunder Bay,75,CA,1570433705,81,48.41,-89.26,46.4,8.05
202,Hammerfest,75,NO,1570433706,86,70.66,23.68,39.2,11.41
203,Kailua,90,US,1570433642,78,21.39,-157.74,80.6,2.55
204,Beyla,100,GN,1570433706,99,8.69,-8.65,70.0,3.2
205,Buckeburg,0,DE,1570433707,86,52.26,9.05,44.01,6.93
206,Shaoguan,10,CN,1570433707,66,24.81,113.59,84.01,3.22
207,Petropavlovsk-Kamchatskiy,40,RU,1570433451,56,53.05,158.65,41.0,6.71
208,Umm Lajj,83,SA,1570433708,74,25.02,37.27,84.58,7.96
209,Gaspe,90,CA,1570433708,81,48.83,-64.48,51.8,6.93
210,Kendari,46,ID,1570433708,67,-3.99,122.52,82.26,5.08
211,Talnakh,90,RU,1570433411,93,69.49,88.39,32.0,6.71
212,Itapuranga,90,BR,1570433709,81,-15.56,-49.95,67.88,3.2
213,Poso,82,ID,1570433709,92,-1.4,120.75,68.22,3.24
214,Baglung,62,NP,1570433709,80,28.27,83.59,59.6,4.97
215,Oktyabrskiy,90,RU,1570433710,75,55.61,37.97,37.4,13.42
216,Hofn,100,IS,1570433710,100,64.25,-15.21,37.12,14.09
217,Komsomolskiy,100,RU,1570433710,77,67.55,63.78,35.19,12.71
218,Gat,20,SN,1570433711,94,14.69,-16.54,78.8,2.24
219,Teshie,75,GH,1570433711,94,5.58,-0.11,75.2,9.17
220,Yerbogachen,100,RU,1570433711,96,61.28,108.01,31.97,7.14
221,Moen,75,BE,1570433712,93,50.77,3.4,53.01,4.7
222,Oranjemund,95,ZA,1570433712,75,-28.55,16.43,59.09,6.35
223,Djambala,100,CG,1570433713,96,-2.55,14.76,68.38,5.73
224,Colares,40,PT,1570433713,87,38.8,-9.45,63.0,5.82
225,Mandalgarh,4,IN,1570433713,44,25.2,75.09,88.36,4.52
226,Praxedis Guerrero,1,MX,1570433714,59,31.37,-106.02,66.99,11.41
227,Madukkur,85,IN,1570433714,41,10.48,79.4,93.01,4.99
228,Atar,24,MR,1570433714,7,20.52,-13.05,95.83,10.33
229,Coari,80,BR,1570433715,81,-4.09,-63.14,77.38,2.1
230,Dzhida,96,RU,1570433715,51,50.68,106.18,49.25,6.4
231,Tibiri,0,NE,1570433715,88,13.57,7.05,75.2,7.56
232,Iglesias,0,ES,1570433716,93,42.3,-3.99,54.0,1.12
233,Nong Khai,20,TH,1570433716,43,17.88,102.75,91.4,4.7
234,Bage,35,IN,1570433716,72,12.95,75.85,82.01,4.59
235,Mgandu,5,TZ,1570433717,30,-5.96,34.11,82.08,13.29
236,Dakar,75,SN,1570433653,83,14.69,-17.45,82.4,9.17
237,Lakatoro,25,VU,1570433717,83,-16.11,167.42,78.41,15.03
238,Kibala,20,TD,1570433718,94,9.11,18.35,75.2,1.52
239,Praia da Vitoria,75,PT,1570433718,94,38.73,-27.07,68.0,17.2
240,Saint Anthony,1,US,1570433718,51,43.97,-111.68,33.01,5.46
241,Acapulco,75,MX,1570433719,88,16.86,-99.88,78.8,3.62
242,Isiro,77,CD,1570433719,49,2.77,27.62,86.74,2.55
243,Mindelo,20,PT,1570433720,100,41.31,-8.72,57.99,3.36
244,Luderitz,0,NA,1570433720,45,-26.65,15.16,66.2,8.05
245,Kaitangata,100,NZ,1570433720,70,-46.28,169.85,54.0,3.0
246,Tuy Hoa,98,VN,1570433720,74,13.08,109.3,81.04,8.37
247,Boa Vista,0,BR,1570433441,78,2.82,-60.67,78.8,1.59
248,Mardin,0,TR,1570433721,47,37.32,40.72,75.2,3.36
249,Ekhabi,100,RU,1570433721,69,53.51,142.97,49.27,17.83
250,Svarstad,0,NO,1570433722,92,59.4,9.97,35.01,3.36
251,Portland,90,US,1570433722,93,43.66,-70.25,64.4,5.82
252,Tessalit,65,ML,1570433722,10,20.2,1.01,96.57,10.69
253,Faanui,91,PF,1570433722,84,-16.48,-151.75,77.33,19.69
254,Tailai,97,CN,1570433723,34,46.39,123.41,52.43,13.2
255,Coihaique,90,CL,1570433723,60,-45.58,-72.07,42.8,8.05
256,Sikasso,99,ML,1570433723,91,11.32,-5.68,72.74,5.7
257,Chuka,0,KE,1570433724,44,-0.33,37.65,75.53,6.08
258,Luba,0,PH,1570433724,78,17.32,120.7,81.59,3.02
259,General Roca,0,AR,1570433724,46,-39.03,-67.58,53.6,13.87
260,Necochea,100,AR,1570433725,68,-38.55,-58.74,57.0,5.99
261,Gorontalo,65,ID,1570433725,72,0.54,123.06,82.22,4.76
262,Lamar,1,US,1570433725,52,38.09,-102.62,46.4,16.11
263,Praia,0,BR,1570433726,60,-20.25,-43.81,69.8,10.29
264,Talara,70,PE,1570433580,87,-4.58,-81.27,63.43,22.59
265,Mangai,100,CD,1570433726,55,-4.07,19.59,87.66,3.11
266,Salinopolis,0,BR,1570433727,80,-0.61,-47.36,80.66,17.72
267,Sorland,75,NO,1570433727,86,67.67,12.69,41.0,1.12
268,Mattru,100,SL,1570433728,93,7.62,-11.83,75.47,0.34
